cust_id,status_cust_id,class_atual,deals_group_on_wpp,link,tipo_link,status_proc,id_api
237886154,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/I4WBDJeYvAz4O7tBaMYtNB?fbclid=PAZXh0bgNhZW0CMTEAAacIakO5V5FYPUbXNKl0737bp-ygZv9BrBwh_SusZVbgYk5RhZdhpz886yA4nA_aem_vULOI5bZXemoB6QWM3m-6Q,Grupo,ERROR,
183967399,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/KFnv00z4htX0GhuKpn6apx?fbclid=PAZXh0bgNhZW0CMTEAAaeZjDuJ40iFPTx1Yy_Sx2p-HqisThON_YjZb1MYjlDKUZ_xL7ZprihpmPcx0A_aem_C2-NhrqZRELqzHyTyulOpg,Grupo,ERROR,
1469409088,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/Jq8n4ykshp8JLyxxO9EegU?mode=ems_copy_t,Grupo,ERROR,
2662787671,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/J35VKuP8EOLFtZaq2Hu2it?fbclid=PAZXh0bgNhZW0CMTEAAac1DEub0kufl5CnzTfhWxGfhywYwtK4yAdhWoN_gyKfcNytXU5EFC1uVxkdvw_aem_mb0Wss1twKAEcCihC5X0gA,Grupo,ERROR,
209463598,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/BhqmU2xmZexKpoAV46f7eg,Grupo,ERROR,
1342859483,Pendente,top KAM Cross/Tech,Sim,https://chat.whatsapp.com/K6CTXebMZ0eJMX8B8uIiA1,Grupo,ERROR,
1249172900,Pendente,top KAM Cross/Tech,Sim,https://chat.whatsapp.com/Dq1JEvVMkAmJywEcvLbjB8,Grupo,ERROR,
268850426,Pendente,top KAM Cross/Tech,Sim,https://chat.whatsapp.com/EtM3xhWp5wcFuqkVNdLOL1?mode=ac_t&fbclid=PAZXh0bgNhZW0CMTEAAcvKmLCoRYh1JrXVQa4GIsd0EnkbBnFBQ4AcdQWmNVlGTiH5r-fPAM9WgGJDw_aem_9ZENO9O-OpjiO-ebHt4fdA,Grupo,ERROR,
251645009,Pendente,top KAM Cross/Tech,Sim,https://chat.whatsapp.com/GzuMpKwpGqy89P9YL4cu4x?fbclid=PAZXh0bgNhZW0CMTEAAadtVsUG-QmJI9FtehAWBo4gBDhfKLcva3fXquMK1HL2EKTrPPso_iZwcw83BA_aem_5eHhxYVaRpg-LB_H71RvZg,Grupo,ERROR,
1446287023,Pendente,top KAM Cross/Tech,Sim,https://chat.whatsapp.com/JEDsYEWz7z4IE3YJZrqqq1,Grupo,ERROR,
