cust_id,status_cust_id,class_atual,deals_group_on_wpp,link,tipo_link,status_proc,id_api
269337304,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HiAZjhqm6DQFLfIkcwhqru,Grupo,ERROR,
618183409,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JUkT4DzEq8E2qKDq8gUQNV,Grupo,ERROR,
1954038151,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GUgEwbuk86aJDdyJfLsSQ3,Grupo,ERROR,
744048622,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BZpAuh2smnSBgAMWUIr8it,Grupo,ERROR,
79019768,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CMPA3hBbXmSBg7aEoHcdAc,Grupo,ERROR,
136554975,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CCbeOEcw45ZIS7Du8dZchQ,Grupo,ERROR,
92792646,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Hi4wsoxm8oyDgk09a0zpEW?mode=wwc,Grupo,ERROR,
481509072,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Hjr3f7J3jCB5dxUy4DqPpl?mode=wwc,Grupo,ERROR,
5160092,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/K0Qvrw74bqdAi0FysJANr5?fbclid=PAZXh0bgNhZW0CMTEAAadTzPHs-UCqEfxaXrjSFbyF7rO5j1w9q5QyAPrpV7RX82CRIk4ea0BTNNbg4A_aem_shDqRg-bVPp7dQdv1KmijQ,Grupo,ERROR,
1465247461,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HXoaeZGoCA1Bdp7Gs4VIkq,Grupo,ERROR,
205028015,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Fspc3uykwrOKs5wDwPvsSW,Grupo,ERROR,
358402522,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CFYwI669SIOF6h8Dspgdfw?fbclid=PAZXh0bgNhZW0CMTEAAadfHkgIVRpL2XfLlMCPSsptBT0_idL8AwH8awbrXh6fjwwatyZoAdC7k3Vpag_aem_mCKPwDK3zqKPDGYMblGQMg,Grupo,ERROR,
1457441247,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/I4uxOIVx0LvCPNpKYNbO5D?mode=wwt,Grupo,ERROR,
1381583566,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DXBvkZJkQLdBQpxymvWKSG,Grupo,ERROR,
1440823950,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FZrN7heaxV2An8cVqgxtkO?fbclid=PAZXh0bgNhZW0CMTEAAaflgn2gOCTXCcEHH4_tQL7lMMckMzhuM5FPOf14CAQR0eTGTYOd0Zta-OnVcA_aem_Hwdvk-eCNwmrFMGybRresw,Grupo,ERROR,
83966270,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JD7FxqCc7lC71BZ6PgsuTy,Grupo,ERROR,
